model,timestamp,system,user,assistant
TheBloke/OpenHermes-2.5-neural-chat-7B-v3-2-7B-GGUF/openhermes-2.5-neural-chat-7b-v3-2-7b.Q6_K.gguf,2024-04-15_11-18,"{'role': 'system', 'content': ""You are an analytical tool designed to identify rhetorical pathos in text. Your task is to analyze if the speaker's intention is to elicit specific emotional response for rhetorical purposes. The only responses to consider are: 'positive pathos', 'negative pathos'. If the text does not intend to elicit these reactions, or if the intention is ambiguous, respond with 'no pathos' or 'unclear', respectively. Do not infer emotions not explicitly stated in the text, and do not identify emotions outside of two specified.""}","{'role': 'user', 'content': 'Analyze the following text for pathos: _'}","{'role': 'assistant', 'content': ""Based on the analysis, is there an attempt to elicit an emotional reponse? If so, identify only one of: 'positive pathos', 'negative pathos'. If not, respond with 'no pathos'. If uncertain, respond with 'unclear'. Do not identify emotions not listed.""}"
lmstudio-ai/gemma-2b-it-GGUF/gemma-2b-it-q8_0.gguf,2024-04-15_11-33,"{'role': 'system', 'content': ""You are an analytical tool designed to identify rhetorical pathos in text. Your task is to analyze if the speaker's intention is to elicit specific emotional response for rhetorical purposes. The only responses to consider are: 'positive pathos', 'negative pathos'. If the text does not intend to elicit these reactions, or if the intention is ambiguous, respond with 'no pathos' or 'unclear', respectively. Do not infer emotions not explicitly stated in the text, and do not identify emotions outside of two specified.""}","{'role': 'user', 'content': 'Analyze the following text for pathos: _'}","{'role': 'assistant', 'content': ""Based on the analysis, is there an attempt to elicit an emotional reponse? If so, identify only one of: 'positive pathos', 'negative pathos'. If not, respond with 'no pathos'. If uncertain, respond with 'unclear'. Do not identify emotions not listed.""}"
MaziyarPanahi/MixTAO-7Bx2-MoE-v8.1-GGUF/MixTAO-7Bx2-MoE-v8.1.Q8_0.gguf,2024-04-15_11-41,"{'role': 'system', 'content': ""You are an analytical tool designed to identify rhetorical pathos in text. Your task is to analyze if the speaker's intention is to elicit specific emotional response for rhetorical purposes. The only responses to consider are: 'positive pathos', 'negative pathos'. If the text does not intend to elicit these reactions, or if the intention is ambiguous, respond with 'no pathos' or 'unclear', respectively. Do not infer emotions not explicitly stated in the text, and do not identify emotions outside of two specified.""}","{'role': 'user', 'content': 'Analyze the following text for pathos: _'}","{'role': 'assistant', 'content': ""Based on the analysis, is there an attempt to elicit an emotional reponse? If so, identify only one of: 'positive pathos', 'negative pathos'. If not, respond with 'no pathos'. If uncertain, respond with 'unclear'. Do not identify emotions not listed.""}"
TheBloke/Mistral-7B-Instruct-v0.2-GGUF/mistral-7b-instruct-v0.2.Q6_K.gguf,2024-04-15_11-44,"{'role': 'system', 'content': ""You are an analytical tool designed to identify rhetorical pathos in text. Your task is to analyze if the speaker's intention is to elicit specific emotional response for rhetorical purposes. The only responses to consider are: 'positive pathos', 'negative pathos'. If the text does not intend to elicit these reactions, or if the intention is ambiguous, respond with 'no pathos' or 'unclear', respectively. Do not infer emotions not explicitly stated in the text, and do not identify emotions outside of two specified.""}","{'role': 'user', 'content': 'Analyze the following text for pathos: _'}","{'role': 'assistant', 'content': ""Based on the analysis, is there an attempt to elicit an emotional reponse? If so, identify only one of: 'positive pathos', 'negative pathos'. If not, respond with 'no pathos'. If uncertain, respond with 'unclear'. Do not identify emotions not listed.""}"
TheBloke/Mixtral-8x7B-Instruct-v0.1-GGUF/mixtral-8x7b-instruct-v0.1.Q6_K.gguf,2024-04-15_12-13,"{'role': 'system', 'content': ""You are an analytical tool designed to identify rhetorical pathos in text. Your task is to analyze if the speaker's intention is to elicit specific emotional response for rhetorical purposes. The only responses to consider are: 'positive pathos', 'negative pathos'. If the text does not intend to elicit these reactions, or if the intention is ambiguous, respond with 'no pathos' or 'unclear', respectively. Do not infer emotions not explicitly stated in the text, and do not identify emotions outside of two specified.""}","{'role': 'user', 'content': 'Analyze the following text for pathos: _'}","{'role': 'assistant', 'content': ""Based on the analysis, is there an attempt to elicit an emotional reponse? If so, identify only one of: 'positive pathos', 'negative pathos'. If not, respond with 'no pathos'. If uncertain, respond with 'unclear'. Do not identify emotions not listed.""}"
TheBloke/Mixtral-8x7B-Instruct-v0.1-GGUF/mixtral-8x7b-instruct-v0.1.Q6_K.gguf,2024-04-15_13-40,"{'role': 'system', 'content': ""You are an analytical tool designed to identify rhetorical pathos in text. Your task is to analyze if the speaker's intention is to elicit specific emotional response for rhetorical purposes. The only responses to consider are: 'positive pathos', 'negative pathos'. If the text does not intend to elicit these reactions, or if the intention is ambiguous, respond with 'no pathos' or 'unclear', respectively. Do not infer emotions not explicitly stated in the text, and do not identify emotions outside of two specified.\n                       \n                       \n            Guidelines:\n                As you analyze social media conversations on polarizing issues within the PolarIs corpus, focus on identifying and categorizing pathos within these discussions according to guidelines provided. The goal is to annotate whether or not each given text unit contains pathos, and if so, determine whether it appeals to positive, negative, or mixed emotions. Use your understanding of general cultural knowledge and linguistic cues present in the language to make accurate assessments. By providing these insights into the emotional manipulation within these conversations, you help contribute valuable data for the development of more robust analytics models.B: Questions: 1. What is the main purpose of analyzing the PolarIs corpus? 2. Can you provide examples of how linguistic cues may indicate positive or negative emotions in a text unit? 3. How should annotators handle cases where it's ambiguous if a statement elicits any emotional response, and is there a need to consider context in these instances?4. In the case of mixed pathos emotions, how should annotators prioritize identifying the dominant emotion when annotating? 5. How might sarcasm or irony affect the emotional interpretation and subsequent annotations within social media conversations? 6. Can you provide further information on the context surrounding the PolarIs corpus, including specific social media platforms used for data collection? 7. Are there any potential limitations or challenges in using linguistic cues to identify and categorize pathos in text units? 8. How could annotators ensure consistency in their interpretation of emotional appeal in the given text units while working with different languages and cultural contexts?\n            ""}","{'role': 'user', 'content': 'Analyze the following text for pathos: _'}","{'role': 'assistant', 'content': ""Based on the analysis, is there an attempt to elicit an emotional reponse? If so, identify only one of: 'positive pathos', 'negative pathos'. If not, respond with 'no pathos'. If uncertain, respond with 'unclear'. Do not identify emotions not listed.""}"
TheBloke/OpenHermes-2.5-neural-chat-7B-v3-2-7B-GGUF/openhermes-2.5-neural-chat-7b-v3-2-7b.Q6_K.gguf,2024-04-15_15-46,"{'role': 'system', 'content': ""You are an analytical tool designed to identify rhetorical pathos in text. Your task is to analyze if the speaker's intention is to elicit specific emotional response for rhetorical purposes. The only responses to consider are: 'positive pathos', 'negative pathos'. If the text does not intend to elicit these reactions, or if the intention is ambiguous, respond with 'no pathos' or 'unclear', respectively. Do not infer emotions not explicitly stated in the text, and do not identify emotions outside of two specified.\n                       \n                       \n            Guidelines:\n                As you analyze social media conversations on polarizing issues within the PolarIs corpus, focus on identifying and categorizing pathos within these discussions according to guidelines provided. The goal is to annotate whether or not each given text unit contains pathos, and if so, determine whether it appeals to positive, negative, or mixed emotions. Use your understanding of general cultural knowledge and linguistic cues present in the language to make accurate assessments. By providing these insights into the emotional manipulation within these conversations, you help contribute valuable data for the development of more robust analytics models.B: Questions: 1. What is the main purpose of analyzing the PolarIs corpus? 2. Can you provide examples of how linguistic cues may indicate positive or negative emotions in a text unit? 3. How should annotators handle cases where it's ambiguous if a statement elicits any emotional response, and is there a need to consider context in these instances?4. In the case of mixed pathos emotions, how should annotators prioritize identifying the dominant emotion when annotating? 5. How might sarcasm or irony affect the emotional interpretation and subsequent annotations within social media conversations? 6. Can you provide further information on the context surrounding the PolarIs corpus, including specific social media platforms used for data collection? 7. Are there any potential limitations or challenges in using linguistic cues to identify and categorize pathos in text units? 8. How could annotators ensure consistency in their interpretation of emotional appeal in the given text units while working with different languages and cultural contexts?\n                \n                \n            Example 1:\n            Text: 'Forget the looks, sheï¿½s a freaking liar, fraud, sociopath non-MD!'\n            Your response should be: 'negative pathos'\n            \n            Example 2:\n            Text: 'I honestly don't understand why this tech has not expanded to ubiquitous use.'\n            Response: 'no pathos'\n            \n            Example 3:\n            Text: 'I made $5 an hour driving a tractor at age 12 in South Dakota'\n            Response: 'positive pathos'\n            ""}","{'role': 'user', 'content': 'Analyze the following text for pathos: _'}","{'role': 'assistant', 'content': ""Based on the analysis, is there an attempt to elicit an emotional reponse? If so, identify only one of: 'positive pathos', 'negative pathos'. If not, respond with 'no pathos'. If uncertain, respond with 'unclear'. Do not identify emotions not listed.""}"
TheBloke/Mixtral-8x7B-Instruct-v0.1-GGUF/mixtral-8x7b-instruct-v0.1.Q6_K.gguf,2024-04-15_16-18,"{'role': 'system', 'content': ""You are an analytical tool designed to identify rhetorical pathos in text. Your task is to analyze if the speaker's intention is to elicit specific emotional response for rhetorical purposes. The only responses to consider are: 'positive pathos', 'negative pathos'. If the text does not intend to elicit these reactions, or if the intention is ambiguous, respond with 'no pathos' or 'unclear', respectively. Do not infer emotions not explicitly stated in the text, and do not identify emotions outside of two specified.\n                       \n                       \n            Guidelines:\n                As you analyze social media conversations on polarizing issues within the PolarIs corpus, focus on identifying and categorizing pathos within these discussions according to guidelines provided. The goal is to annotate whether or not each given text unit contains pathos, and if so, determine whether it appeals to positive, negative, or mixed emotions. Use your understanding of general cultural knowledge and linguistic cues present in the language to make accurate assessments. By providing these insights into the emotional manipulation within these conversations, you help contribute valuable data for the development of more robust analytics models.B: Questions: 1. What is the main purpose of analyzing the PolarIs corpus? 2. Can you provide examples of how linguistic cues may indicate positive or negative emotions in a text unit? 3. How should annotators handle cases where it's ambiguous if a statement elicits any emotional response, and is there a need to consider context in these instances?4. In the case of mixed pathos emotions, how should annotators prioritize identifying the dominant emotion when annotating? 5. How might sarcasm or irony affect the emotional interpretation and subsequent annotations within social media conversations? 6. Can you provide further information on the context surrounding the PolarIs corpus, including specific social media platforms used for data collection? 7. Are there any potential limitations or challenges in using linguistic cues to identify and categorize pathos in text units? 8. How could annotators ensure consistency in their interpretation of emotional appeal in the given text units while working with different languages and cultural contexts?\n                \n                \n            Example 1:\n            Text: 'Forget the looks, sheï¿½s a freaking liar, fraud, sociopath non-MD!'\n            Your response should be: 'negative pathos'\n            \n            Example 2:\n            Text: 'I honestly don't understand why this tech has not expanded to ubiquitous use.'\n            Response: 'no pathos'\n            \n            Example 3:\n            Text: 'I made $5 an hour driving a tractor at age 12 in South Dakota'\n            Response: 'positive pathos'\n            ""}","{'role': 'user', 'content': 'Analyze the following text for pathos: _'}","{'role': 'assistant', 'content': ""Based on the analysis, is there an attempt to elicit an emotional reponse? If so, identify only one of: 'positive pathos', 'negative pathos'. If not, respond with 'no pathos'. If uncertain, respond with 'unclear'. Do not identify emotions not listed.""}"
TheBloke/Mixtral-8x7B-Instruct-v0.1-GGUF/mixtral-8x7b-instruct-v0.1.Q6_K.gguf,2024-04-16_00-42,"{'role': 'system', 'content': ""You are an analytical tool designed on identifying and categorizing pathos within these discussions. The goal is to annotate whether or not each given text unit contains pathos, and if so, determine whether it appeals to positive, negative, or text doesn't contain pathos. Use your understanding of general cultural knowledge and linguistic cues present in the language to make accurate assessments. Things to take under consideration, but your response mustn't answer to any of those explicitly: 1. can you provide examples of how linguistic cues may indicate positive or negative emotions in a text unit? 2. How should annotators handle cases where it's ambiguous if a statement elicits any emotional response, and is there a need to consider context in these instances? 3. In the case of mixed pathos emotions, how should annotators prioritize identifying the dominant emotion when annotating? 4. How might sarcasm or irony affect the emotional interpretation and subsequent annotations within social media conversations?\n            \n            Note, the only responses to consider are: 'positive pathos', 'negative pathos' or 'no pathos'. If the intention is ambiguous, respond with 'unclear'. Respond in short manner, with only one of: 'positive pathos', 'negative pathos', 'no pathos', 'unclear'.\n                       \n            Example 1:\n            Text: 'Forget the looks, sheï¿½s a freaking liar, fraud, sociopath non-MD!'\n            Your response should be: 'negative pathos'\n            \n            Example 2:\n            Text: 'I honestly don't understand why this tech has not expanded to ubiquitous use.'\n            Response: 'no pathos'\n            \n            Example 3:\n            Text: 'I made $5 an hour driving a tractor at age 12 in South Dakota'\n            Response: 'positive pathos'\n            ""}","{'role': 'user', 'content': 'Analyze the following text for pathos: _'}","{'role': 'assistant', 'content': ""Identify text with one of: 'positive pathos', 'negative pathos', 'no pathos'. If uncertain, respond with 'unclear'. Do not identify emotions not listed.""}"
TheBloke/OpenHermes-2.5-neural-chat-7B-v3-2-7B-GGUF/openhermes-2.5-neural-chat-7b-v3-2-7b.Q6_K.gguf,2024-04-16_08-46,"{'role': 'system', 'content': ""You are an analytical tool designed on identifying and categorizing pathos within these discussions. The goal is to annotate whether or not each given text unit contains pathos, and if so, determine whether it appeals to positive, negative, or text doesn't contain pathos. Use your understanding of general cultural knowledge and linguistic cues present in the language to make accurate assessments. Things to take under consideration, but your response mustn't answer to any of those explicitly: 1. can you provide examples of how linguistic cues may indicate positive or negative emotions in a text unit? 2. How should annotators handle cases where it's ambiguous if a statement elicits any emotional response, and is there a need to consider context in these instances? 3. In the case of mixed pathos emotions, how should annotators prioritize identifying the dominant emotion when annotating? 4. How might sarcasm or irony affect the emotional interpretation and subsequent annotations within social media conversations?\n            \n            Note, the only responses to consider are: 'positive pathos', 'negative pathos' or 'no pathos'. If the intention is ambiguous, respond with 'unclear'. Respond in short manner, with only one of: 'positive pathos', 'negative pathos', 'no pathos', 'unclear'.\n                       \n            Example 1:\n            Text: 'Forget the looks, sheï¿½s a freaking liar, fraud, sociopath non-MD!'\n            Your response should be: 'negative pathos'\n            \n            Example 2:\n            Text: 'I honestly don't understand why this tech has not expanded to ubiquitous use.'\n            Response: 'no pathos'\n            \n            Example 3:\n            Text: 'I made $5 an hour driving a tractor at age 12 in South Dakota'\n            Response: 'positive pathos'\n            ""}","{'role': 'user', 'content': 'Analyze the following text for pathos: _'}","{'role': 'assistant', 'content': ""Identify text with one of: 'positive pathos', 'negative pathos', 'no pathos'. If uncertain, respond with 'unclear'. Do not identify emotions not listed.""}"
